id,m,lon,lat
11.0,a,-117.92895,33.61891
11.0,a,-117.67199,33.60002
11.0,a,-117.92895,33.61891
11.0,a,-117.67199,33.60002
11.0,a,-117.67199,33.60002
11.0,a,-117.92895,33.61891
11.0,a,-117.92895,33.61891
11.0,a,-117.67199,33.60002
11.0,a,-117.92895,33.61891
11.0,a,-117.92895,33.61891
11.0,a,-117.67199,33.60002
11.0,a,-117.67199,33.60002
11.0,a,-117.67199,33.60002
11.0,a,-117.67199,33.60002
11.0,a,-117.92895,33.61891
11.0,a,-117.92895,33.61891
11.0,a,-117.67199,33.60002
11.0,a,-117.92895,33.61891
11.0,a,-117.92895,33.61891
11.0,a,-117.92895,33.61891
11.0,a,-117.92895,33.61891
11.0,a,-117.92895,33.61891
11.0,a,-117.67199,33.60002
11.0,a,-117.92895,33.61891
11.0,a,-117.92895,33.61891
11.0,a,-117.67199,33.60002
11.0,a,-117.92895,33.61891
11.0,a,-117.67199,33.60002
11.0,a,-117.67199,33.60002
11.0,a,-117.92895,33.61891
11.0,a,-117.92895,33.61891
11.0,a,-117.92895,33.61891
11.0,a,-117.92895,33.61891
11.0,a,-117.67199,33.60002
11.0,a,-117.92895,33.61891
11.0,a,-117.92895,33.61891
11.0,a,-117.92895,33.61891
11.0,a,-117.92895,33.61891
11.0,a,-117.92895,33.61891
11.0,a,-117.67199,33.60002
11.0,a,-117.92895,33.61891
11.0,a,-117.92895,33.61891
11.0,a,-117.67199,33.60002
11.0,a,-117.67199,33.60002
11.0,a,-117.67199,33.60002
11.0,a,-117.67199,33.60002
11.0,a,-117.92895,33.61891
11.0,a,-117.92895,33.61891
11.0,a,-117.67199,33.60002
11.0,a,-117.92895,33.61891
11.0,a,-117.92895,33.61891
11.0,a,-117.92895,33.61891
11.0,a,-117.92895,33.61891
11.0,a,-117.92895,33.61891
11.0,a,-117.92895,33.61891
11.0,a,-117.92895,33.61891
11.0,a,-117.92895,33.61891
11.0,a,-117.67199,33.60002
11.0,a,-117.92895,33.61891
11.0,a,-117.92895,33.61891
11.0,a,-117.92895,33.61891
11.0,a,-117.67199,33.60002
11.0,a,-117.67199,33.60002
11.0,a,-117.67199,33.60002
11.0,a,-117.92895,33.61891
11.0,a,-117.92895,33.61891
11.0,a,-117.92895,33.61891
11.0,a,-117.92895,33.61891
11.0,a,-117.92895,33.61891
11.0,a,-117.92895,33.61891
11.0,a,-117.92895,33.61891
11.0,a,-117.92895,33.61891
11.0,a,-117.92895,33.61891
11.0,a,-117.92895,33.61891
11.0,a,-117.67199,33.60002
11.0,a,-117.92895,33.61891
11.0,a,-117.92895,33.61891
11.0,a,-117.67199,33.60002
11.0,b,-117.92895,33.61891
11.0,b,-117.67199,33.60002
11.0,b,-117.92895,33.61891
11.0,b,-117.92895,33.61891
11.0,b,-117.92895,33.61891
11.0,b,-117.67199,33.60002
11.0,b,-117.92895,33.61891
11.0,b,-117.92895,33.61891
11.0,b,-117.92895,33.61891
11.0,b,-117.92895,33.61891
11.0,b,-117.92895,33.61891
11.0,b,-117.92895,33.61891
11.0,b,-117.92895,33.61891
11.0,b,-117.92895,33.61891
11.0,b,-117.67199,33.60002
11.0,b,-117.67199,33.60002
11.0,b,-117.67199,33.60002
11.0,b,-117.92895,33.61891
11.0,b,-117.92895,33.61891
11.0,b,-117.67199,33.60002
11.0,b,-117.92895,33.61891
11.0,b,-117.67199,33.60002
11.0,b,-117.92895,33.61891
11.0,b,-117.92895,33.61891
11.0,b,-117.92895,33.61891
11.0,b,-117.92895,33.61891
11.0,b,-117.92895,33.61891
11.0,b,-117.92895,33.61891
11.0,b,-117.67199,33.60002
11.0,b,-117.92895,33.61891
11.0,b,-117.67199,33.60002
11.0,b,-117.67199,33.60002
11.0,b,-117.67199,33.60002
11.0,b,-117.92895,33.61891
11.0,b,-117.92895,33.61891
11.0,b,-117.92895,33.61891
11.0,b,-117.92895,33.61891
11.0,b,-117.67199,33.60002
11.0,b,-117.92895,33.61891
11.0,b,-117.92895,33.61891
11.0,b,-117.92895,33.61891
11.0,b,-117.92895,33.61891
11.0,b,-117.67199,33.60002
11.0,b,-117.92895,33.61891
11.0,b,-117.92895,33.61891
11.0,b,-117.67199,33.60002
11.0,b,-117.67199,33.60002
11.0,b,-117.92895,33.61891
11.0,b,-117.92895,33.61891
11.0,b,-117.67199,33.60002
11.0,b,-117.92895,33.61891
11.0,b,-117.67199,33.60002
11.0,b,-117.67199,33.60002
11.0,b,-117.92895,33.61891
11.0,b,-117.92895,33.61891
11.0,b,-117.92895,33.61891
11.0,b,-117.67199,33.60002
11.0,b,-117.92895,33.61891
11.0,b,-117.92895,33.61891
11.0,b,-117.92895,33.61891
11.0,b,-117.67199,33.60002
11.0,b,-117.92895,33.61891
11.0,b,-117.92895,33.61891
11.0,b,-117.92895,33.61891
11.0,b,-117.67199,33.60002
11.0,b,-117.67199,33.60002
11.0,b,-117.67199,33.60002
11.0,b,-117.92895,33.61891
11.0,b,-117.92895,33.61891
11.0,b,-117.92895,33.61891
11.0,b,-117.92895,33.61891
11.0,b,-117.67199,33.60002
13.0,a,-117.89396,33.91533
13.0,a,-117.89398999999999,33.91534
13.0,a,-117.95623,33.9368
13.0,a,-117.95613,33.9367
13.0,a,-117.89408999999999,33.91531
13.0,a,-117.72733999999998,33.509570000000004
13.0,a,-117.72723,33.50956
13.0,a,-117.72737,33.50953
13.0,a,-117.72721999999999,33.50963
13.0,a,-117.72726000000002,33.50959
13.0,a,-117.95691000000001,33.938320000000004
13.0,a,-117.95748999999999,33.93847
13.0,a,-117.89393999999999,33.91543
13.0,a,-117.89445,33.91565
13.0,a,-117.88141999999999,33.910470000000004
13.0,a,-117.88132,33.910990000000005
13.0,a,-117.95549,33.93673
13.0,a,-117.93668000000001,33.92601
13.0,a,-117.89407,33.91575
13.0,a,-117.93654,33.92592
13.0,a,-117.89397,33.915409999999994
13.0,a,-117.89401000000001,33.91527
13.0,a,-117.89393999999999,33.915420000000005
13.0,a,-117.95548000000001,33.93674
13.0,a,-117.68524,33.55421
13.0,a,-117.93631,33.92589
13.0,a,-117.95598999999999,33.936240000000005
13.0,a,-117.89395,33.91543
13.0,a,-117.93626,33.92615
13.0,a,-117.93625,33.926140000000004
13.0,a,-117.93636000000001,33.9259
13.0,a,-117.93642,33.92601
13.0,a,-117.93643999999999,33.92592
13.0,a,-117.89388999999998,33.91543
13.0,a,-117.89396,33.91533
13.0,a,-117.89396,33.91537
13.0,a,-117.74081000000001,33.64782
13.0,a,-117.74081000000001,33.64782
13.0,a,-117.73988,33.647529999999996
13.0,a,-117.77938999999999,33.70831
13.0,a,-117.77981000000001,33.7084
13.0,a,-117.77978999999999,33.70839
13.0,a,-117.77926000000001,33.70798
13.0,a,-117.77938999999999,33.70818
13.0,a,-117.89392,33.91538
13.0,a,-117.95785,33.9355
13.0,a,-117.93643999999999,33.92584
13.0,a,-117.89411000000001,33.91536
13.0,a,-117.89402,33.915420000000005
13.0,a,-117.93648999999999,33.925940000000004
13.0,a,-117.88308,33.800340000000006
13.0,a,-117.95551,33.9371
13.0,a,-117.95548000000001,33.93736
